SEASON_ID,player_id,Game_ID,date,matchup,WL,minutes,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,points,PLUS_MINUS,VIDEO_AVAILABLE,last5_minutes,last5_points,rest_days,home_game
22025,2544,22500253,2025-11-18,LAL vs. UTA,W,30,4,7,0.571,2,3,0.667,1,4,0.25,1,2,3,12,1,0,1,0,11,1,1,30.0,11.0,0.0,1
22025,2544,22500282,2025-11-23,LAL @ UTA,W,34,8,18,0.444,0,4,0.0,1,2,0.5,0,6,6,8,1,0,2,2,17,-14,1,32.0,14.0,5.0,0
22025,2544,22500059,2025-11-25,LAL vs. LAC,W,32,9,15,0.6,2,5,0.4,5,6,0.833,1,5,6,6,1,1,3,3,25,18,1,32.0,17.666666666666668,2.0,1
22025,2544,22500078,2025-11-28,LAL vs. DAL,W,34,5,13,0.385,2,6,0.333,1,4,0.25,1,4,5,7,1,0,2,1,13,13,1,32.5,16.5,3.0,1
22025,2544,22500317,2025-12-01,LAL vs. PHX,L,31,3,10,0.3,1,4,0.25,3,4,0.75,0,0,0,3,0,0,3,2,10,-6,1,32.2,15.2,3.0,1
22025,2544,22500336,2025-12-04,LAL @ TOR,W,36,4,17,0.235,0,5,0.0,0,0,0.0,1,5,6,11,0,0,0,1,8,-1,1,33.4,14.6,3.0,0
22025,2544,22500362,2025-12-07,LAL @ PHI,W,34,12,17,0.706,4,6,0.667,1,2,0.5,1,6,7,6,1,1,2,1,29,1,1,33.4,17.0,3.0,0
22025,2544,22501204,2025-12-10,LAL vs. SAS,L,36,7,14,0.5,0,3,0.0,5,6,0.833,1,14,15,8,0,3,3,2,19,-16,1,34.2,15.8,3.0,1
22025,2544,22501228,2025-12-14,LAL @ PHX,W,36,8,17,0.471,1,5,0.2,9,14,0.643,1,2,3,4,2,2,8,3,26,8,1,34.6,18.4,4.0,0
22025,2544,22500379,2025-12-18,LAL @ UTA,W,33,8,17,0.471,0,5,0.0,12,13,0.923,1,6,7,10,1,0,2,1,28,-6,1,35.0,22.0,4.0,0
22025,2544,22500395,2025-12-20,LAL @ LAC,L,38,15,28,0.536,3,7,0.429,3,5,0.6,1,3,4,3,2,1,3,1,36,-6,1,35.4,27.6,2.0,0
22025,2544,22500418,2025-12-23,LAL @ PHX,L,26,7,14,0.5,3,5,0.6,6,11,0.545,0,2,2,6,0,0,0,0,23,-18,1,33.8,26.4,3.0,0
22025,2544,22500012,2025-12-25,LAL vs. HOU,L,32,7,13,0.538,1,3,0.333,3,4,0.75,0,2,2,5,2,1,3,3,18,-33,1,33.0,26.2,2.0,1
22025,2544,22500446,2025-12-28,LAL vs. SAC,W,29,11,13,0.846,1,2,0.5,1,1,1.0,1,2,3,5,2,0,2,0,24,20,1,31.6,25.8,3.0,1
22025,2544,22500460,2025-12-30,LAL vs. DET,L,32,6,17,0.353,3,10,0.3,2,5,0.4,0,4,4,4,1,1,5,1,17,-16,1,31.4,23.6,2.0,1
22025,2544,22500485,2026-01-02,LAL vs. MEM,W,36,12,18,0.667,1,5,0.2,6,6,1.0,0,9,9,6,0,0,4,3,31,11,1,31.0,22.6,3.0,1
22025,2544,22500501,2026-01-04,LAL vs. MEM,W,37,8,14,0.571,2,7,0.286,8,10,0.8,0,7,7,10,1,0,1,2,26,6,1,33.2,23.2,2.0,1
22025,2544,22500514,2026-01-06,LAL @ NOP,W,33,10,19,0.526,3,5,0.6,7,7,1.0,0,8,8,8,2,1,1,2,30,10,1,33.4,25.6,2.0,0
22025,2544,22500541,2026-01-09,LAL vs. MIL,L,33,10,21,0.476,2,7,0.286,4,6,0.667,1,8,9,10,3,0,3,1,26,8,1,34.2,26.0,3.0,1
22025,2544,22500562,2026-01-12,LAL @ SAC,L,33,8,17,0.471,0,5,0.0,6,6,1.0,0,4,4,3,1,0,3,1,22,-9,1,34.4,27.0,3.0,0
22025,2544,22500569,2026-01-13,LAL vs. ATL,W,33,12,20,0.6,2,4,0.5,5,6,0.833,1,8,9,10,1,1,4,1,31,17,1,33.8,27.0,1.0,1
22025,2544,22500586,2026-01-15,LAL vs. CHA,L,33,10,19,0.526,3,6,0.5,6,7,0.857,2,7,9,6,2,1,3,0,29,-7,1,33.0,27.6,2.0,1
22025,2544,22500601,2026-01-17,LAL @ POR,L,32,6,16,0.375,1,3,0.333,7,7,1.0,1,8,9,8,1,2,4,2,20,-16,1,32.8,25.6,2.0,0
22025,2544,22500607,2026-01-18,LAL vs. TOR,W,32,9,17,0.529,2,4,0.5,4,4,1.0,2,2,4,7,0,2,3,0,24,18,1,32.6,25.2,1.0,1
